artwork_url,created_at,description,duration,embeddable_by,genre,id,kind,label_name,last_modified,license,likes_count,managed_by_feeds,permalink,permalink_url,public,purchase_title,purchase_url,release_date,reposts_count,secret_token,sharing,tag_list,title,uri,user_id,set_type,is_album,published_at,display_date,user,tracks,track_count
com/releases/SK006CD,2003-06-02T00:00:00Z,262,,public,downtempo sampling beats,Soulhack,https://api.soundcloud.com/playlists/18,183,album,True,,2008-04-30T01:21:15Z,"{'avatar_url': 'https://i1.sndcdn.com/avatars-000012778523-59quu3-large.jpg', 'first_name': 'Eric', 'followers_count': 133692, 'full_name': 'Eric Wahlforss', 'id': 183, 'kind': 'user', 'last_modified': '2020-12-16T21:40:33Z', 'last_name': 'Wahlforss', 'permalink': 'forss', 'permalink_url': 'https://soundcloud.com/forss', 'uri': 'https://api.soundcloud.com/users/183', 'urn': 'soundcloud:users:183', 'username': 'Forss', 'verified': True, 'city': 'Berlin', 'country_code': 'DE', 'badges': {'pro': False, 'pro_unlimited': False, 'verified': True}, 'station_urn': 'soundcloud:system-playlists:artist-stations:183', 'station_permalink': 'artist-stations:183'}","[290, 291, 292, 293, 294, 295, 296, 297, 298, 299, 300]",11
,2008-05-01T17:31:06Z,,50620378,all,,34,playlist,,2021-10-16T14:55:49Z,all-rights-reserved,1,False,dj-mixes,https://soundcloud.com/kimik/sets/dj-mixes,True,,,,0,,public,,Dj Mixes,https://api.soundcloud.com/playlists/34,2157,,False,,2008-05-01T17:31:06Z,"{'avatar_url': 'https://i1.sndcdn.com/avatars-N3HNyXVCJnJ8YiLQ-cAZcZw-large.jpg', 'first_name': 'Kim', 'followers_count': 1502, 'full_name': 'Kim', 'id': 2157, 'kind': 'user', 'last_modified': '2021-08-17T10:55:32Z', 'last_name': '', 'permalink': 'kimik', 'permalink_url': 'https://soundcloud.com/kimik', 'uri': 'https://api.soundcloud.com/users/2157', 'urn': 'soundcloud:users:2157', 'username': 'Kimik', 'verified': False, 'city': 'Tampere', 'country_code': 'FI', 'badges': {'pro': False, 'pro_unlimited': True, 'verified': False}, 'station_urn': 'soundcloud:system-playlists:artist-stations:2157', 'station_permalink': 'artist-stations:2157'}","[859159762, 438021198, 274210741, 274210163, 215133239, 23086273, 4364, 4368, 4340, 316483]",10
,2008-05-05T03:06:57Z,songs i made for a rave i played at in 2007,2498158,all,smoke & chill,38,playlist,,2015-10-13T13:39:25Z,all-rights-reserved,3,False,the-rave-songs,https://soundcloud.com/headphonescience/sets/the-rave-songs,True,,,2007-01-01T00:00:00Z,1,,public,,the rave songs,https://api.soundcloud.com/playlists/38,1719,ep,True,,2008-05-05T03:06:57Z,"{'avatar_url': 'https://i1.sndcdn.com/avatars-000000012820-990597-large.jpg', 'first_name': '', 'followers_count': 877, 'full_name': '', 'id': 1719, 'kind': 'user', 'last_modified': '2017-09-07T21:15:46Z', 'last_name': '', 'permalink': 'headphonescience', 'permalink_url': 'https://soundcloud.com/headphonescience', 'uri': 'https://api.soundcloud.com/users/1719', 'urn': 'soundcloud:users:1719', 'username': 'Headphone Science', 'verified': False, 'city': '', 'country_code': None, 'badges': {'pro': False, 'pro_unlimited': False, 'verified': False}, 'station_urn': 'soundcloud:system-playlists:artist-stations:1719', 'station_permalink': 'artist-stations:1719'}","[4433, 4432, 4431, 4430]",4
,2008-05-21T21:29:48Z,"
This time we bring you a complete rerelease of the first record ever recorded and released on the label back in 1991. All audio is completely restored and re-mastered, we think it is a big improvement and it shows what modern studio technology can do wit",0,all,,59,playlist,,2008-05-21T21:29:48Z,all-rights-reserved,5,False,eevo001r-us-heritage,https://soundcloud.com/terrace/sets/eevo001r-us-heritage,True,,,,1,,public,,EEVO001R US Heritage,https://api.soundcloud.com/playlists/59,2314,,False,,2008-05-21T21:29:48Z,"{'avatar_url': 'https://i1.sndcdn.com/avatars-000000017364-3a10d6-large.jpg', 'first_name': 'Stefan', 'followers_count': 2063, 'full_name': 'Stefan Robbers', 'id': 2314, 'kind': 'user', 'last_modified': '2021-07-23T21:10:42Z', 'last_name': 'Robbers', 'permalink': 'terrace', 'permalink_url': 'https://soundcloud.com/terrace', 'uri': 'https://api.soundcloud.com/users/2314', 'urn': 'soundcloud:users:2314', 'username': 'Terrace', 'verified': False, 'city': 'Eindhoven', 'country_code': 'NL', 'badges': {'pro': False, 'pro_unlimited': True, 'verified': False}, 'station_urn': 'soundcloud:system-playlists:artist-stations:2314', 'station_permalink': 'artist-stations:2314'}",[],0
,2008-05-14T04:19:50Z,"mute1945 is a very very unique artist and genius in Kyoto, Japan.
During end of 1990, he kept on making noise music.
After, he changed his own works to a beautiful sound based on keyboard(YAMAHA MOTIF).
But he had not learned the keyboard and couldn't ",489215,all,non genre,48,playlist,Floor Limit,2008-05-14T04:31:39Z,all-rights-reserved,1,False,mute1945-karte6524,https://soundcloud.com/ark/sets/mute1945-karte6524,True,,,,0,,public,"piano ""yamaha motif"" contemporary minimal electronica ambient japan kyoto progressive avant-garde",mute1945 - karte6524,https://api.soundcloud.com/playlists/48,1691,album,True,,2008-05-14T04:19:50Z,"{'avatar_url': 'https://i1.sndcdn.com/avatars-000000018772-c5d4ba-large.jpg', 'first_name': 'Ark', 'followers_count': 265, 'full_name': 'Ark Kozuki', 'id': 1691, 'kind': 'user', 'last_modified': '2020-08-17T12:33:59Z', 'last_name': 'Kozuki', 'permalink': 'ark', 'permalink_url': 'https://soundcloud.com/ark', 'uri': 'https://api.soundcloud.com/users/1691', 'urn': 'soundcloud:users:1691', 'username': 'ark', 'verified': False, 'city': 'Tokyo', 'country_code': 'JP', 'badges': {'pro': False, 'pro_unlimited': False, 'verified': False}, 'station_urn': 'soundcloud:system-playlists:artist-stations:1691', 'station_permalink': 'artist-stations:1691'}",[],0
,2008-05-14T22:50:46Z,,821446,all,,52,playlist,,2008-05-14T22:50:46Z,all-rights-reserved,0,False,pulp-fictional-ep,https://soundcloud.com/deeped/sets/pulp-fictional-ep,True,,,,0,,public,,Pulp Fictional EP,https://api.soundcloud.com/playlists/52,2455,,False,,2008-05-14T22:50:46Z,"{'avatar_url': 'https://i1.sndcdn.com/avatars-000183177794-ps2vnn-large.jpg', 'first_name': 'Deeped Niclas', 'followers_count': 209, 'full_name': 'Deeped Niclas Strandh', 'id': 2455, 'kind': 'user', 'last_modified': '2015-10-18T13:05:36Z', 'last_name': 'Strandh', 'permalink': 'deeped', 'permalink_url': 'https://soundcloud.com/deeped', 'uri': 'https://api.soundcloud.com/users/2455', 'urn': 'soundcloud:users:2455', 'username': 'deeped', 'verified': False, 'city': 'Borlänge', 'country_code': 'SE', 'badges': {'pro': False, 'pro_unlimited': False, 'verified': False}, 'station_urn': 'soundcloud:system-playlists:artist-stations:2455', 'station_permalink': 'artist-stations:2455'}",[5188],1
https://i1.sndcdn.com/artworks-000066926272-4bcqod-large.jpg,2008-05-15T11:47:21Z,,1056919,all,Electronica,55,playlist,,2015-10-13T13:36:11Z,all-rights-reserved,16,False,dense-in-the-4th-dimension,https://soundcloud.com/circuitflow/sets/dense-in-the-4th-dimension,True,,,2008-01-01T00:00:00Z,4,,public,electro house techno,Dense In The 4th Dimension,https://api.soundcloud.com/playlists/55,231,,False,,2008-05-15T11:47:21Z,"{'avatar_url': 'https://i1.sndcdn.com/avatars-000001600946-mwnqyr-large.jpg', 'first_name': 'Owen', 'followers_count': 4032, 'full_name': 'Owen Meyers', 'id': 231, 'kind': 'user', 'last_modified': '2020-06-27T06:56:21Z', 'last_name': 'Meyers', 'permalink': 'circuitflow', 'permalink_url': 'https://soundcloud.com/circuitflow', 'uri': 'https://api.soundcloud.com/users/231', 'urn': 'soundcloud:users:231', 'username': 'Owen Meyers / Bruce Brus', 'verified': False, 'city': 'Stockholm', 'country_code': 'SE', 'badges': {'pro': False, 'pro_unlimited': False, 'verified': False}, 'station_urn': 'soundcloud:system-playlists:artist-stations:231', 'station_permalink': 'artist-stations:231'}","[5209, 5210]",2
,2008-05-24T15:13:33Z,,42425337,none,,68,playlist,,2008-05-24T15:13:33Z,all-rights-reserved,1,False,jazzaffair-collective-album,https://soundcloud.com/fabiogenito/sets/jazzaffair-collective-album,True,,,,0,,public,,Jazzaffair Collective (ALBUM),https://api.soundcloud.com/playlists/68,691,,False,,2008-05-24T15:13:33Z,"{'avatar_url': 'https://i1.sndcdn.com/avatars-000281911311-hqd7g3-large.jpg', 'first_name': 'Fabio', 'followers_count': 7033, 'full_name': 'Fabio Genito', 'id': 691, 'kind': 'user', 'last_modified': '2020-11-20T17:58:39Z', 'last_name': 'Genito', 'permalink': 'fabiogenito', 'permalink_url': 'https://soundcloud.com/fabiogenito', 'uri': 'https://api.soundcloud.com/users/691', 'urn': 'soundcloud:users:691', 'username': 'fabiogenito', 'verified': False, 'city': 'Mediterraneo ', 'country_code': 'IT', 'badges': {'pro': False, 'pro_unlimited': True, 'verified': False}, 'station_urn': 'soundcloud:system-playlists:artist-stations:691', 'station_permalink': 'artist-stations:691'}","[1117, 1066, 1046, 1045, 1219, 1218, 1213, 1145, 1144]",9
https://i1.sndcdn.com/artworks-000000588967-s1frzi-large.jpg,2008-05-22T16:52:38Z,"muzika ne tik lietuviams, darbai su draugais, etc. taip pat: http://matisas.blogspot.com/",5356348,all,,61,playlist,,2015-10-13T13:36:11Z,all-rights-reserved,3,False,lietuva,https://soundcloud.com/matas/sets/lietuva,True,,,2000-01-01T00:00:00Z,0,,public,,Lietuva,https://api.soundcloud.com/playlists/61,1433,,False,,2008-05-22T16:52:38Z,"{'avatar_url': 'https://i1.sndcdn.com/avatars-000001548772-zay6dy-large.jpg', 'first_name': 'Matas', 'followers_count': 6821, 'full_name': 'Matas Petrikas Matisse', 'id': 1433, 'kind': 'user', 'last_modified': '2021-09-27T14:46:09Z', 'last_name': 'Petrikas Matisse', 'permalink': 'matas', 'permalink_url': 'https://soundcloud.com/matas', 'uri': 'https://api.soundcloud.com/users/1433', 'urn': 'soundcloud:users:1433', 'username': 'matas', 'verified': True, 'city': 'Berlin', 'country_code': 'DE', 'badges': {'pro': False, 'pro_unlimited': True, 'verified': True}, 'station_urn': 'soundcloud:system-playlists:artist-stations:1433', 'station_permalink': 'artist-stations:1433'}","[8615, 2781, 6072, 18935, 1102940]",5
,2008-05-14T22:42:51Z,,908382,all,,51,playlist,,2008-05-14T22:42:51Z,all-rights-reserved,0,False,the-masquerade,https://soundcloud.com/deeped/sets/the-masquerade,True,,,,0,,public,,The Masquerade,https://api.soundcloud.com/playlists/51,2455,,False,,2008-05-14T22:42:51Z,"{'avatar_url': 'https://i1.sndcdn.com/avatars-000183177794-ps2vnn-large.jpg', 'first_name': 'Deeped Niclas', 'followers_count': 209, 'full_name': 'Deeped Niclas Strandh', 'id': 2455, 'kind': 'user', 'last_modified': '2015-10-18T13:05:36Z', 'last_name': 'Strandh', 'permalink': 'deeped', 'permalink_url': 'https://soundcloud.com/deeped', 'uri': 'https://api.soundcloud.com/users/2455', 'urn': 'soundcloud:users:2455', 'username': 'deeped', 'verified': False, 'city': 'Borlänge', 'country_code': 'SE', 'badges': {'pro': False, 'pro_unlimited': False, 'verified': False}, 'station_urn': 'soundcloud:system-playlists:artist-stations:2455', 'station_permalink': 'artist-stations:2455'}","[5185, 5184]",2
,2008-05-26T11:47:11Z,,0,all,,71,playlist,,2008-05-26T11:47:11Z,all-rights-reserved,0,False,solid-state,https://soundcloud.com/trancepoetry/sets/solid-state,True,,,,0,,public,,Solid State,https://api.soundcloud.com/playlists/71,57,,False,,2008-05-26T11:47:11Z,"{'avatar_url': 'https://i1.sndcdn.com/avatars-000365084324-iuyo61-large.jpg', 'first_name': 'Trance', 'followers_count': 7489, 'full_name': 'Trance Poetry', 'id': 57, 'kind': 'user', 'last_modified': '2019-02-27T13:46:38Z', 'last_name': 'Poetry', 'permalink': 'trancepoetry', 'permalink_url': 'https://soundcloud.com/trancepoetry', 'uri': 'https://api.soundcloud.com/users/57', 'urn': 'soundcloud:users:57', 'username': '@trancepoetry', 'verified': False, 'city': 'The Internet', 'country_code': 'SE', 'badges': {'pro': False, 'pro_unlimited': True, 'verified': False}, 'station_urn': 'soundcloud:system-playlists:artist-stations:57', 'station_permalink': 'artist-stations:57'}",[],0
