id_playlist,playlist_name,id_artist,playlist_link_full,songs_number
0,fav,1980,https://www.soundcloud.com/rania-atef-986053249/sets/fav,0
1,favorite,1981,https://www.soundcloud.com/abdul-salam-888480241/sets/favorite,0
2,FrenchMontanaMusic.com Player,1983,https://www.soundcloud.com/badboyentertainment/sets/frenchmontanamusic-com-player,1
3,fairuz <3,1985,https://www.soundcloud.com/marrram/sets/fairuz-3,1
4,fatma,1991,https://www.soundcloud.com/sabrina-sabrina-6551471/sets/fatma,9
5,First on SoundCloud Clubhouse Sessions,1997,https://www.soundcloud.com/soundcloud/sets/first-on-soundcloud-clubhouse-sessions,8
6,FlatbushZOMBiES - BetterOffDEAD,2003,https://www.soundcloud.com/flatbushzombies/sets/betteroffdead,19
7,Feduk,2009,https://www.soundcloud.com/user-477709787/sets/feduk,136
8,favoritos,2015,https://www.soundcloud.com/guillermo-ramirez-20/sets/favoritos,24
9,Favs,2021,https://www.soundcloud.com/vardha-sridharan/sets/favs,15
10,fühl's xD,2024,https://www.soundcloud.com/lou-bietenholz-1/sets/f-hls-xd,2
11,Filling,2025,https://www.soundcloud.com/user968372537/sets/filling,0
12,Faces - Mac Miller,2026,https://www.soundcloud.com/okdisradio/sets/faces-mac-miller,0
13,FlyLo,2032,https://www.soundcloud.com/citizen-squid/sets/flylo,222
14,Festivus,2038,https://www.soundcloud.com/walefolarin/sets/festivus,11
15,Flyinglotus,2044,https://www.soundcloud.com/alexanderdoty/sets/flyinglotus,208
16,For studying / mainly lofi-hiphop & ambient + alpha,2050,https://www.soundcloud.com/mavocado28/sets/for-studying-mainly-lofi,41
17,For Those Scottish Times,2056,https://www.soundcloud.com/tyler-kier/sets/for-those-scottish-times,221
18,Firouz Morning Coffee - قهوة فيروز الصباحية,2062,https://www.soundcloud.com/n8m5s/sets/firouz-morning-coffee,47
19,February 15 EP,2068,https://www.soundcloud.com/thisnao/sets/february-15-ep,5
20,Fifi & Jules MEMORIES,2074,https://www.soundcloud.com/fifiandjules/sets/fifi-jules-memories,10
21,Firefly 2018 - Part 1,2080,https://www.soundcloud.com/lifeofjax/sets/firefly-2018-part-1,480
22,FANTASY TUNES from #R3sizzeRecords,2086,https://www.soundcloud.com/veolettabennet/sets/f3siz,52
23,Freeletics Workout Playlist,2092,https://www.soundcloud.com/freeletics-official/sets/your-freeletics-workout,15
24,"First Things First Ft. Tory Lanez, Toosii, Money Man, Lil Tecca, Lil Uzi Vert, Lil Baby, 50 Cent",2097,https://www.soundcloud.com/certifiedgoats/sets/first-things-first,7
25,Friday Debate,2103,https://www.soundcloud.com/user672133919/sets/friday-debate-1,78
26,Full of Beans,2109,https://www.soundcloud.com/bido-lito/sets/full-of-beans,10
27,fav song,2114,https://www.soundcloud.com/chatera-holmes/sets/fav-song,390
28,Feeling U Feeling Me xx,2120,https://www.soundcloud.com/isabellaamente/sets/feeling-u-feeling-me-xx,26
29,favs❤❤,2122,https://www.soundcloud.com/sohera-sohail/sets/favs,1
30,Chill Mix(High On Chill),2128,https://www.soundcloud.com/lukasm1/sets/chill-mix-high-on-chill,33
31,Chillax Mood,2134,https://www.soundcloud.com/its-jezika-bruh/sets/chillax-mood,21
32,CHILL VIBES,2140,https://www.soundcloud.com/3sup/sets/chill-vibes,94
33,Christmas,2146,https://www.soundcloud.com/bangtan/sets/christmas,6
34,cosy night autumn,2152,https://www.soundcloud.com/lolollov2/sets/cosy-night-autumn,13
35,diab adem,2161,https://www.soundcloud.com/user-456129583/sets/diab-adem,20
36,Dave Holland Prism,2167,https://www.soundcloud.com/cathy-morgan-3/sets/dave-holland-prism,8
37,dangdut,2171,https://www.soundcloud.com/ghenta-thea/sets/dangdut,3
38,DJ PATHWAYS REMIXS AND SONG,2177,https://www.soundcloud.com/user-449735795/sets/dj-pathways-remixs-and-song,454
39,Dawn of Winter 2015,2183,https://www.soundcloud.com/best-indie-playlists/sets/dawn-of-winter-2015,11
40,dvffdhb,2189,https://www.soundcloud.com/user-909631641/sets/dvffdhb,83
41,D&D night,2195,https://www.soundcloud.com/user-585971590/sets/d-d-night,472
42,Damn <3,2201,https://www.soundcloud.com/derrian-annan-1/sets/damn-3,17
43,Diplo's Summer Playlist,2207,https://www.soundcloud.com/nickrobinsearly/sets/diplo-final-playlist,62
44,DJThat'sWhat'sUp,2213,https://www.soundcloud.com/jared-dorsey-1/sets/party,50
45,Dominican_Swagg,2219,https://www.soundcloud.com/romeo-lopez-10/sets/dominican_swagg,418
46,Dubstep,2225,https://www.soundcloud.com/skrillex93/sets/dubstep,434
47,darkness,2231,https://www.soundcloud.com/user-14531693/sets/darkness,29
48,Daz,2237,https://www.soundcloud.com/daryl-huxley/sets/daz,382
49,"Dear Tupac, You Are Appreciated (Happy Bornday)",2243,https://www.soundcloud.com/first-ear/sets/dear-tupac-you-are-appreciated,9
50,Chill Out 2018,2246,https://www.soundcloud.com/thiago-silva-394/sets/chill-out-2018,31
51,coctail,2252,https://www.soundcloud.com/shady-sheko-502340632/sets/coctail,19
52,CHILL STUDY VIBES,2258,https://www.soundcloud.com/alkhaw/sets/chill-study-vibes,28
53,Complete Spanish,2264,https://www.soundcloud.com/languagetransfer/sets/complete-spanish,90
54,Chill MIx (High On Chill),2270,https://www.soundcloud.com/jataus/sets/chill-mix-1,48
55,com.,2271,https://www.soundcloud.com/omima-esmat/sets/com,0
56,Car,2277,https://www.soundcloud.com/dark_hawk/sets/car,47
57,campuran,2282,https://www.soundcloud.com/wawan-hermawan-526037435/sets/campuran,4
58,DOUBLE TAP TO THIS,2287,https://www.soundcloud.com/assassin-ball-player3/sets/double-tap-to-this,453
59,discioo,2288,https://www.soundcloud.com/user72609725/sets/discioo,0
60,DEAD BEATS- Debut EP,2293,https://www.soundcloud.com/user-694398002/sets/dead-beats-debut-ep,4
61,dee,2299,https://www.soundcloud.com/dameion-taylor/sets/dee,380
62,DG,2300,https://www.soundcloud.com/usi-ake/sets/dg,0
63,Dubstep,2306,https://www.soundcloud.com/jcouch258-1/sets/dubstep,229
64,Dubstep,2312,https://www.soundcloud.com/5avage5ound5/sets/dubstep,479
65,DJ Andy 2017mix,2318,https://www.soundcloud.com/650859556/sets/dj-andy-2017mix,414
66,"Cassie - ""All Gold, All Girls""",2320,https://www.soundcloud.com/badboyentertainment/sets/cassie-all-gold-all-girls,1
67,Country Music: A Film By Ken Burns (The Soundtrack),0,https://www.soundcloud.com/legacyrecordings/sets/country-music-a-film-by-ken,96
68,concentrating classic,2331,https://www.soundcloud.com/lolollov2/sets/concentrating-classic,14
69,certanejo,2333,https://www.soundcloud.com/diogo-oliveira-749697399/sets/certanejo,1
70,C,2334,https://www.soundcloud.com/user463279684/sets/c,0
71,Create mode,2336,https://www.soundcloud.com/oftherose02/sets/create-mode,1
72,Caca Boud1,2342,https://www.soundcloud.com/primetimefut/sets/caca-boud1,12
73,dub,2347,https://www.soundcloud.com/tswift626/sets/dub,460
74,David nail,2348,https://www.soundcloud.com/user182380678/sets/david-nail,0
75,df,2353,https://www.soundcloud.com/dahmaster5/sets/df,348
76,Dan Playlist,2359,https://www.soundcloud.com/user-932148323-274917929/sets/dan-playlist,472
77,Deeeep HOU$E,2365,https://www.soundcloud.com/djcboo/sets/deeeep-hou-e,458
78,Dixie Chicks - Live,2371,https://www.soundcloud.com/joc-har/sets/dixie-chicks-live,34
79,DJ 阿陶DJ Andy 2017,2373,https://www.soundcloud.com/650859556/sets/dj-dj-andy-2017,466
80,Music,2379,https://www.soundcloud.com/jig-saw19/sets/music,12
81,Major,2385,https://www.soundcloud.com/user248702449/sets/major,8
82,manisa,2388,https://www.soundcloud.com/jaja-hagar/sets/manisa,2
83,mikedeleon0882@gmail,2394,https://www.soundcloud.com/mike-humble-795043880/sets/mikedeleon0882-gmail,86
84,MK-Quran,2400,https://www.soundcloud.com/mohamed-kamal-469/sets/mk-quran,22
85,My Songs,2406,https://www.soundcloud.com/nadeenghali98/sets/egyptian-songs,34
86,Miller,2412,https://www.soundcloud.com/user275332828/sets/miller,454
87,magno dj,2417,https://www.soundcloud.com/user-424810110/sets/magno-dj,4
88,Music,2423,https://www.soundcloud.com/savanna-jackson-254144611/sets/music,369
89,Mohamed Mounir محمد منير,2429,https://www.soundcloud.com/annmagdy/sets/mohamed-mounir,157
90,MAX Burton VS Geo Le GEK ==> Sunday 13th June 2010 My Style,2435,https://www.soundcloud.com/geogeo/sets/max-burton-vs-geo-le-gek-sunday-13th-june-2010-my-style,425
91,mvll,2436,https://www.soundcloud.com/dhanny-febriyand-161938935/sets/mvll,0
92,Metal Music,2442,https://www.soundcloud.com/kyle-manocchio/sets/metal,488
93,moments,2448,https://www.soundcloud.com/axel-moradel/sets/moments,431
94,Music,2454,https://www.soundcloud.com/user-377219115/sets/music,452
95,MBA Mondays,2455,https://www.soundcloud.com/mbamondays/sets/mba-mondays-1,0
96,Mhrgnat Et7ad El-Kama - 2016 _ مهرجانات اتحاد القمة (الدخلاوية ) - نسخة اصلية,2461,https://www.soundcloud.com/fifa-music-1/sets/mhrgnat-et7ad-el-kama-2014,18
97,maine,2467,https://www.soundcloud.com/maine-devoe/sets/maine,121
98,my mood,2473,https://www.soundcloud.com/inahid/sets/my-mood,314
99,Mistic Goblin EP,2478,https://www.soundcloud.com/formationrecords/sets/mistic-goblin-ep,4
100,MTV Unplugged/ Spotify Live/ BBC AOL sessions/ Live Concert Performances and Popular Anthems,2484,https://www.soundcloud.com/user-670860618/sets/mtv-unplugged-spotify-live-bbc,370
101,musica,2486,https://www.soundcloud.com/mathias-nicolas-579957016/sets/musica,1
102,MBA Mondays,2487,https://www.soundcloud.com/colby-grenier/sets/mba-mondays,34
103,MBA Monday,2488,https://www.soundcloud.com/h_sihota/sets/mba-monday,35
104,MBA,2490,https://www.soundcloud.com/user236444232/sets/mba,34
105,MBAMonday,2491,https://www.soundcloud.com/goodsleeper/sets/mbamonday,34
106,misha,2497,https://www.soundcloud.com/tamisha-isaac/sets/misha,468
107,Mullin's Tunes,2503,https://www.soundcloud.com/calum-mullin/sets/mullins-tunes,455
108,More Bacon... Caleb Bacon,2505,https://www.soundcloud.com/manschool/sets/more-bacon-caleb-bacon,7
109,Musica essenziale dall'Italia,2511,https://www.soundcloud.com/playlist/sets/musica-essenziale-dall-italia,78
110,Ja feel Tomorrowland Weekender,2517,https://www.soundcloud.com/jafeel/sets/tomorrowland,22
111,Jazz hip 4,2523,https://www.soundcloud.com/yourparadis/sets/jazz-hip-4-1,34
112,Jazz hip,2528,https://www.soundcloud.com/yourparadis/sets/jazz-hip,14
113,JAZZ,2534,https://www.soundcloud.com/dj-elye/sets/jazz,8
114,JAZZ MUSIC,2540,https://www.soundcloud.com/xanderisawesome/sets/jazz-music,8
115,Jermaine Dupri Presents... So So Def 25,0,https://www.soundcloud.com/legacyrecordings/sets/jermaine-dupri-presents-so-so,11
116,jazzy night,2551,https://www.soundcloud.com/tb3dvuqu1ugs/sets/jazzy-night,13
117,jazz2,2557,https://www.soundcloud.com/ahmed-omran-20/sets/jazz2,18
118,Jazz,2558,https://www.soundcloud.com/ikee27/sets/jazz,0
119,Ju jazz,2559,https://www.soundcloud.com/juliano-pires-2/sets/ju-jazz,0
120,Jazz,2565,https://www.soundcloud.com/gennaro-di-cello-1/sets/jazz,11
121,jose,2571,https://www.soundcloud.com/jose-luis-sierra-velez/sets/jose,30
122,J Cole  - Friday Night Lights Mixtape (newjcole.com),2577,https://www.soundcloud.com/newjcole/sets/j-cole-friday-night-lights,15
123,Juice Wrld,2580,https://www.soundcloud.com/ben-worthington-764631420/sets/juice-wrld,2
